"user_id","name","email","password","password_hash","role","title"
"1321556","Ngô Minh Khang","ngominhkhang.1321556@hcmut.edu.vn","7BDXPAfJHkSA","7BDXPAfJHkSA","admin","none"
"1329475","Ngô Khánh Hiếu","ngokhanhhieu.1329475@hcmut.edu.vn","GAIvlfW1lyny","GAIvlfW1lyny","admin","none"
"1337394","Lý Gia Hải","lygiahai.1337394@hcmut.edu.vn","vEwD0qIXH7ZG","vEwD0qIXH7ZG","admin","none"
"1345313","Nguyễn Khánh Quân","nguyenkhanhquan.1345313@hcmut.edu.vn","Mcp9xuTSlk3K","Mcp9xuTSlk3K","admin","none"
"1353232","Trần Đức Uyên","tranducuyen.1353232@hcmut.edu.vn","loLdCL36KwST","loLdCL36KwST","admin","none"
"1361151","Võ Đức Phát","voducphat.1361151@hcmut.edu.vn","5o1BX5ZDoAd3","5o1BX5ZDoAd3","admin","none"
"1369070","Trần Gia Quang","trangiaquang.1369070@hcmut.edu.vn","wKJvtNIyIa7U","wKJvtNIyIa7U","admin","none"
"1376989","Lê Văn Yến","levanyen.1376989@hcmut.edu.vn","NwuzvjSCl5rb","NwuzvjSCl5rb","admin","none"
"1384908","Hồ Quang Hiếu","hoquanghieu.1384908@hcmut.edu.vn","yR7G5NmNNlJi","yR7G5NmNNlJi","admin","none"
"1392827","Nguyễn Khánh Nhi","nguyenkhanhnhi.1392827@hcmut.edu.vn","jGe3EIn21OLX","jGe3EIn21OLX","admin","none"
